Alpha,Beta,Evaporation Rate,Number of Ants,Trial,Best Distance
0.5,2.0,0.3,10,1,211.86912597118442
0.5,2.0,0.3,10,2,211.86912597118442
0.5,2.0,0.3,10,3,211.86912597118442
0.5,2.0,0.3,10,4,211.86912597118442
0.5,2.0,0.3,10,5,211.86912597118442
0.5,2.0,0.3,10,6,211.86912597118442
0.5,2.0,0.3,10,7,211.86912597118442
0.5,2.0,0.3,10,8,211.86912597118442
0.5,2.0,0.3,10,9,211.86912597118442
0.5,2.0,0.3,10,10,211.86912597118442
0.5,2.0,0.3,10,11,211.86912597118442
0.5,2.0,0.3,10,12,211.86912597118442
0.5,2.0,0.3,10,13,211.86912597118442
0.5,2.0,0.3,10,14,211.86912597118442
0.5,2.0,0.3,10,15,211.86912597118442
0.5,2.0,0.3,10,16,211.86912597118442
0.5,2.0,0.3,10,17,211.86912597118442
0.5,2.0,0.3,10,18,211.86912597118442
0.5,2.0,0.3,10,19,211.86912597118442
0.5,2.0,0.3,10,20,211.86912597118442
0.5,2.0,0.3,10,21,211.86912597118442
0.5,2.0,0.3,10,22,211.86912597118442
0.5,2.0,0.3,10,23,211.86912597118442
0.5,2.0,0.3,10,24,211.86912597118442
0.5,2.0,0.3,10,25,211.86912597118442
0.5,2.0,0.3,10,26,211.86912597118442
0.5,2.0,0.3,10,27,211.86912597118442
0.5,2.0,0.3,10,28,211.86912597118442
0.5,2.0,0.3,10,29,211.86912597118442
0.5,2.0,0.3,10,30,211.86912597118442
0.5,2.0,0.3,20,1,211.86912597118442
0.5,2.0,0.3,20,2,211.86912597118442
0.5,2.0,0.3,20,3,211.86912597118442
0.5,2.0,0.3,20,4,211.86912597118442
0.5,2.0,0.3,20,5,211.86912597118442
0.5,2.0,0.3,20,6,211.86912597118442
0.5,2.0,0.3,20,7,211.86912597118442
0.5,2.0,0.3,20,8,211.86912597118442
0.5,2.0,0.3,20,9,211.86912597118442
0.5,2.0,0.3,20,10,211.86912597118442
0.5,2.0,0.3,20,11,211.86912597118442
0.5,2.0,0.3,20,12,211.86912597118442
0.5,2.0,0.3,20,13,211.86912597118442
0.5,2.0,0.3,20,14,211.86912597118442
0.5,2.0,0.3,20,15,211.86912597118442
0.5,2.0,0.3,20,16,211.86912597118442
0.5,2.0,0.3,20,17,211.86912597118442
0.5,2.0,0.3,20,18,211.86912597118442
0.5,2.0,0.3,20,19,211.86912597118442
0.5,2.0,0.3,20,20,211.86912597118442
0.5,2.0,0.3,20,21,211.86912597118442
0.5,2.0,0.3,20,22,211.86912597118442
0.5,2.0,0.3,20,23,211.86912597118442
0.5,2.0,0.3,20,24,211.86912597118442
0.5,2.0,0.3,20,25,211.86912597118442
0.5,2.0,0.3,20,26,211.86912597118442
0.5,2.0,0.3,20,27,211.86912597118442
0.5,2.0,0.3,20,28,211.86912597118442
0.5,2.0,0.3,20,29,211.86912597118442
0.5,2.0,0.3,20,30,211.86912597118442
0.5,2.0,0.3,30,1,211.86912597118442
0.5,2.0,0.3,30,2,211.86912597118442
0.5,2.0,0.3,30,3,211.86912597118442
0.5,2.0,0.3,30,4,211.86912597118442
0.5,2.0,0.3,30,5,211.86912597118442
0.5,2.0,0.3,30,6,211.86912597118442
0.5,2.0,0.3,30,7,211.86912597118442
0.5,2.0,0.3,30,8,211.86912597118442
0.5,2.0,0.3,30,9,211.86912597118442
0.5,2.0,0.3,30,10,211.86912597118442
0.5,2.0,0.3,30,11,211.86912597118442
0.5,2.0,0.3,30,12,211.86912597118442
0.5,2.0,0.3,30,13,211.86912597118442
0.5,2.0,0.3,30,14,211.86912597118442
0.5,2.0,0.3,30,15,211.86912597118442
0.5,2.0,0.3,30,16,211.86912597118442
0.5,2.0,0.3,30,17,211.86912597118442
0.5,2.0,0.3,30,18,211.86912597118442
0.5,2.0,0.3,30,19,211.86912597118442
0.5,2.0,0.3,30,20,211.86912597118442
